"elementName", "elementContent", "typeAttributeIfPresent"
"date", "God", ""
"date", "June 9", ""
"date", "May 15. 1799", ""
"name", "afraid", "emotion"
"name", "excited", "emotion"
"name", "greatest grati- tude", "emotion"
"name", "very gracious", "emotion"
"persName", "Jesus", ""
"placeName", "Bayldon", ""
"placeName", "Bayldon", ""
"placeName", "Dukenfield", ""
"placeName", "Fulneck", ""
"placeName", "Fulneck", ""
"roleName", "God", ""
"roleName", "Jesus", ""
"roleName", "Jesus", ""
"roleName", "Savior", ""
"roleName", "Savior", ""
"roleName", "Son", ""